,AQI,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
158,81,286,29,69,6,35,1.14,110
159,76,248,43,79,7,36,1.30,80
160,93,305,42,98,7,42,1.22,96
161,61,195,16,53,6,38,0.97,92
162,88,326,37,101,11,43,1.20,88
163,78,316,35,64,6,26,1.17,109
164,93,331,33,84,8,39,1.13,107
165,71,261,20,91,6,27,0.86,85
166,64,264,17,68,6,28,0.86,89
167,65,206,19,55,10,41,0.94,80
168,78,251,24,61,10,43,0.93,109
169,103,338,41,95,12,55,1.26,119
170,103,337,42,93,8,37,1.17,122
171,103,340,39,87,8,28,1.13,141
172,69,278,30,81,7,33,1.15,80
173,105,357,40,102,8,49,1.31,108
174,39,100,16,34,4,21,1.05,60
175,61,299,22,45,5,30,1.09,86
176,67,292,33,61,5,32,1.18,82
177,56,200,25,56,8,31,1.11,80
178,69,238,31,81,8,37,1.07,74
179,81,304,32,89,7,52,1.07,54
180,93,342,29,87,8,49,1.11,87
181,70,285,28,81,8,43,1.08,62
182,70,317,18,52,6,32,0.96,93
183,75,311,29,78,8,42,1.08,80
184,59,227,29,61,5,27,0.99,80
185,61,231,24,49,6,22,0.88,96
186,54,215,17,37,5,17,0.75,100
187,64,259,28,54,5,19,0.81,113
188,51,204,26,53,6,20,0.84,77
189,35,84,12,31,5,15,0.73,55
190,59,238,31,62,5,24,0.89,74
191,69,290,45,81,5,23,1.05,73
192,78,311,45,83,5,25,1.02,81
193,43,130,13,35,5,24,0.78,68
194,53,220,22,56,7,42,0.89,46
195,40,132,11,24,4,27,0.82,73
196,74,344,23,48,6,36,0.95,104
197,75,314,28,69,5,37,0.93,96
198,84,304,26,71,8,44,0.93,106
199,71,268,48,83,5,27,0.88,83
200,37,87,13,32,4,25,0.99,62
201,73,333,23,48,5,32,1.07,102
202,98,360,27,64,6,48,1.09,115
203,63,270,32,77,5,38,0.98,72
204,84,326,47,95,5,36,1.07,101
205,86,327,48,92,4,29,1.08,92
206,38,61,13,28,4,24,0.85,66
207,48,121,17,45,5,30,0.86,50
208,51,128,17,40,5,29,0.80,73
209,82,291,25,70,7,47,0.90,95
210,91,310,29,74,7,43,0.90,108
211,61,179,23,65,7,39,0.81,63
212,56,199,23,54,5,30,0.86,62
213,72,303,29,65,6,32,0.82,78
214,58,253,28,62,5,32,0.81,63
215,68,303,42,62,4,24,0.86,81
216,72,310,44,70,5,25,0.92,95
217,68,294,39,71,5,25,0.94,92
218,68,295,45,80,6,38,1.13,67
219,81,350,49,84,6,36,1.09,86
220,66,319,42,76,5,33,0.96,70
221,63,280,32,62,5,29,0.94,80
222,63,287,31,63,4,32,0.94,75
223,62,283,28,64,5,32,0.76,68
224,57,241,20,52,5,28,0.68,76
225,61,266,26,60,5,30,0.75,71
226,53,221,20,49,5,22,0.67,70
227,59,292,27,61,5,25,0.72,83
228,75,320,44,82,6,27,1.03,88
229,77,308,44,83,5,27,1.32,85
230,88,331,52,95,6,30,1.27,98
231,59,245,19,50,5,25,0.89,85
232,72,324,43,77,5,24,1.42,94
233,71,287,43,77,7,23,1.34,100
234,73,286,38,79,9,25,1.14,108
235,70,264,40,76,7,28,1.09,94
236,93,319,55,104,6,32,1.16,98
237,33,21,13,29,4,18,0.78,52
238,31,26,11,30,7,30,0.79,32
239,67,318,30,63,10,49,1.02,67
240,71,271,28,63,14,52,0.95,79
241,75,295,47,97,18,51,1.10,68
242,76,267,52,99,15,56,1.09,69
243,73,215,41,87,12,57,1.00,60
244,71,257,28,74,15,54,0.86,69
245,80,289,32,86,17,63,0.88,76
246,95,302,53,138,24,81,1.17,30
247,90,290,38,99,16,59,1.03,73
248,93,291,58,129,19,60,1.19,77
249,54,168,29,57,11,36,0.86,55
250,70,286,28,65,11,48,0.87,78
251,91,313,41,94,17,68,1.02,88
252,81,250,45,109,15,61,1.11,49
253,58,200,21,51,11,41,0.92,70
254,81,307,33,98,17,59,1.02,67
255,84,314,51,107,19,60,1.35,36
256,98,337,72,111,15,50,1.52,56
257,111,338,82,151,11,55,1.57,39
258,80,293,57,97,8,50,1.29,50
259,95,333,67,125,10,54,1.38,69
260,110,349,81,148,12,54,1.40,80
261,120,356,90,163,14,63,1.49,36
262,48,133,32,46,5,30,1.21,47
263,57,185,39,59,7,41,1.35,21
264,66,195,45,79,8,47,1.34,48
265,82,251,50,100,11,60,1.33,65
266,94,284,53,120,13,73,1.37,70
267,77,220,47,102,10,65,1.21,24
268,81,247,56,102,12,48,1.12,62
